Dates,Nombre de fiches enregistrées,Nombre d'agents
2024-03-11,72,26
2024-03-12,41,15
2024-03-14,63,20
2024-03-15,279,44
2024-03-16,119,36
2024-03-18,296,54
2024-03-19,274,53
2024-03-20,269,33
2024-03-21,289,34
2024-03-22,280,39
2024-03-23,165,29
2024-03-25,192,34
2024-03-26,51,15
2024-03-27,124,30
2024-03-28,296,35
2024-03-29,173,25
2024-04-02,247,38
2024-04-03,205,29
2024-04-04,198,31
2024-04-05,18,12
2024-04-08,138,29
2024-04-09,242,30
2024-04-11,187,30
2024-04-12,189,37
2024-04-13,219,34
2024-04-15,302,36
2024-04-16,328,43
2024-04-17,335,52
2024-04-18,351,55
2024-04-19,65,33
2024-04-30,247,58
2024-05-02,448,59
2024-05-03,577,67
2024-05-04,644,76
2024-05-06,711,69
2024-05-07,764,72
2024-05-08,750,74
2024-05-10,557,74
2024-05-11,405,70
2024-05-13,294,72
2024-05-14,471,74
2024-05-15,400,78
2024-05-16,533,77
2024-05-17,397,76
2024-05-18,426,69
2024-05-21,517,72
2024-05-22,382,71
2024-05-23,622,72
2024-05-24,516,74
2024-05-25,366,69
2024-05-27,335,70
2024-05-28,671,74
2024-05-29,726,74
2024-05-30,540,70
2024-05-31,409,68
2024-06-01,411,67
2024-06-02,103,12
2024-06-03,449,78
2024-06-04,362,84
2024-06-05,554,84
2024-06-06,445,82
2024-06-07,400,73
2024-06-08,317,78
2024-06-10,359,79
2024-06-11,350,79
2024-06-12,393,67
2024-06-13,351,53
2024-06-14,303,53
2024-06-15,236,51
2024-06-18,265,64
2024-06-19,127,43
2024-06-20,210,39
2024-06-21,289,38
2024-06-22,88,21
2024-06-23,22,10
2024-06-24,78,30
2024-06-25,242,37
2024-06-26,263,66
2024-06-27,128,55
2024-06-28,126,48
2024-07-01,77,18
2024-07-02,42,16
2024-07-03,97,23
2024-07-04,68,21
2024-07-05,46,18
2024-07-06,26,16
2024-07-08,8,7
2024-07-09,7,6
2024-07-10,34,10
2024-07-26,5,1
2024-07-29,3,1
2024-07-30,1,1
2024-07-31,2,1
2024-08-02,1,1
2024-08-05,5,1
2024-08-06,1,1
2024-08-17,1,1
2024-09-04,68,14
2024-09-05,185,13
2024-09-06,272,50
2024-09-07,402,58
2024-09-09,537,58
2024-09-10,805,64
2024-09-11,773,64
2024-09-12,983,67
2024-09-13,1005,66
2024-09-14,720,64
2024-09-16,1002,64
2024-09-17,935,67
2024-09-18,829,66
2024-09-19,941,64
2024-09-20,951,106
2024-09-21,1164,103
2024-09-23,1511,108
2024-09-24,1228,191
2024-09-25,2708,205
2024-09-26,2804,211
2024-09-27,3252,294
2024-09-28,2715,291
2024-09-30,3913,299
2024-10-01,3216,305
2024-10-02,2823,303
2024-10-03,3888,304
2024-10-04,3506,307
2024-10-07,3812,400
2024-10-08,4382,402
2024-10-09,4937,402
2024-10-10,4715,401
2024-10-11,4672,400
2024-10-14,4557,408
2024-10-15,995,238
2024-10-16,5450,393
2024-10-17,5930,402
2024-10-18,5647,390
2024-10-19,365,48
2024-10-21,5553,398
2024-10-22,5525,397
2024-10-23,5958,395
2024-10-24,5743,396
2024-10-25,5141,403
2024-10-26,3341,391
2024-10-28,6612,445
2024-10-29,6203,446
2024-10-30,6187,443
2024-10-31,5428,428
