"Dates","Nombre d'agents","Nombre de fiches enregistrées","Objectifs visés"
"9/4/2024","14","68","49"
"9/5/2024","13","186","91"
"9/6/2024","55","270","385"
"9/7/2024","58","402","203"
"9/9/2024","60","537","331"
"9/10/2024","64","798","366"
"9/11/2024","64","773","366"
"9/12/2024","66","985","372"
"9/13/2024","66","1005","372"
"9/14/2024","64","720","385"
"9/16/2024","64","995","766"
"9/17/2024","67","932","796"
"9/18/2024","67","826","796"
"9/19/2024","66","941","990"
"9/20/2024","107","950","1145"
"9/21/2024","107","1162","643"
"9/23/2024","106","1508","1294"
"9/24/2024","184","1235","1066"
"9/25/2024","211","2712","2037"
"9/26/2024","211","2802","2005"
"9/27/2024","294","3615","2251"
"9/28/2024","291","713","1932"
"9/30/2024","299","3908","2037"
