"Dates","Nombre d'agents","Nombre de fiches enregistrées","Objectifs visés"
"9/4/2024","14","72","49"
"9/5/2024","13","189","91"
"9/6/2024","54","285","385"
"9/7/2024","58","423","203"
"9/9/2024","59","562","331"
"9/10/2024","64","832","366"
"9/11/2024","64","813","366"
"9/12/2024","66","1006","372"
"9/13/2024","66","1027","372"
"9/14/2024","64","744","385"
"9/16/2024","64","1029","766"
"9/17/2024","67","985","796"
"9/18/2024","66","852","796"
"9/19/2024","66","963","990"
"9/20/2024","106","1007","1145"
"9/21/2024","103","1222","643"
"9/23/2024","108","1560","1294"
"9/24/2024","192","1409","1066"
"9/25/2024","205","2900","2037"
"9/26/2024","211","3025","2005"
"9/27/2024","294","3571","2251"
"9/28/2024","291","2906","1932"
"9/30/2024","299","4125","2037"
