"Dates","Nombre d'agents","Nombre de fiches enregistrées","Objectifs visés"
"9/4/2024","14","68","70"
"9/5/2024","13","185","65"
"9/6/2024","54","270","275"
"9/7/2024","58","401","145"
"9/9/2024","59","535","300"
"9/10/2024","64","798","320"
"9/11/2024","64","772","320"
"9/12/2024","66","982","395"
"9/13/2024","66","1006","395"
"9/14/2024","64","718","320"
"9/16/2024","64","995","640"
"9/17/2024","67","932","670"
"9/18/2024","66","825","670"
"9/19/2024","66","941","660"
"9/20/2024","106","951","770"
"9/21/2024","103","1160","435"
"9/23/2024","108","1505","875"
"9/24/2024","192","1233","895"
"9/25/2024","205","2703","1405"
"9/26/2024","211","2800","1385"
"9/27/2024","294","3233","1563"
"9/28/2024","291","2711","990"
"9/30/2024","299","3902","2025"
